radius_m,clustered_treated,isolated_treated,pre_gap_pp,post_gap_pp,amplification_pp
250,1668,602,2.17221508993487,6.366034132021928,4.193819042087058
400,1773,497,2.288918670190167,5.89691627911287,3.6079976089227026
800,1930,340,3.1387429028648928,7.418511138273078,4.279768235408185
