specification,matched_treated_properties,matched_control_properties,pre_collapse_gap_pp,post_collapse_gap_pp,did_style_difference_pp
main_matched,2270,6810,-1.1657934549093585,15.81646704644425,16.982260501353608
donut_gt_100m,2270,6810,-0.3306046670129542,17.367615448111792,17.698220115124744
donut_gt_150m,2270,6810,0.06719269855982624,17.874032599686466,17.80683990112664
exile_gt_400m,2270,6810,0.7900450359621093,18.491476046895052,17.701431010932943
