t,treatment_rate,treatment_n,control_rate,control_n,gap_pp
-4,0.07838660578386605,1314,0.08719851576994433,3234,-0.8811909986078281
-3,0.07292954264524104,1618,0.08473301579343194,3989,-1.18034731481909
-2,0.08076358296622614,2043,0.08296094812512143,5147,-0.21973651588952925
-1,0.09201557935735151,2054,0.0824270177447052,5241,0.9588561612646305
0,0.2592959841348537,2017,0.08762790697674419,5375,17.166807715810954
1,0.2837769964841788,1991,0.09244005125388981,5463,19.1336945230289
2,0.2924418604651163,1720,0.10156087408949012,4805,19.088098637562616
3,0.27237654320987653,1296,0.08705882352941176,3825,18.531771968046478
4,0.24979591836734694,1225,0.08927613941018767,3730,16.051977895715925
5,0.22313296903460839,1098,0.08079954954954954,3552,14.233341948505885
