clustered,t,vacancy_rate,n,group,vacancy_pct
False,-4,0.0661764705882353,272,isolated,6.61764705882353
False,-3,0.05654761904761905,336,isolated,5.654761904761905
False,-2,0.07142857142857142,434,isolated,7.142857142857142
False,-1,0.0576036866359447,434,isolated,5.76036866359447
False,0,0.20093457943925233,428,isolated,20.093457943925234
False,1,0.2186046511627907,430,isolated,21.86046511627907
False,2,0.2287390029325513,341,isolated,22.87390029325513
False,3,0.23591549295774647,284,isolated,23.591549295774648
False,4,0.23134328358208955,268,isolated,23.134328358208954
False,5,0.18614718614718614,231,isolated,18.614718614718615
True,-4,0.08157389635316699,1042,clustered,8.157389635316699
True,-3,0.07722308892355695,1282,clustered,7.722308892355695
True,-2,0.08328154133001865,1609,clustered,8.328154133001865
True,-1,0.10123456790123457,1620,clustered,10.123456790123457
True,0,0.2750157331655129,1589,clustered,27.50157331655129
True,1,0.3017296604740551,1561,clustered,30.17296604740551
True,2,0.30819434372733867,1379,clustered,30.819434372733866
True,3,0.2826086956521739,1012,clustered,28.26086956521739
True,4,0.2549634273772205,957,clustered,25.49634273772205
True,5,0.23298731257208766,867,clustered,23.298731257208765
