brand,t,vacancy_rate,n,vacancy_pct,brand_display,trajectory_type
body shop,-4,0.06111111111111111,180,6.111111111111111,The Body Shop,Near-null
body shop,-3,0.0670391061452514,179,6.70391061452514,The Body Shop,Near-null
body shop,-2,0.061452513966480445,179,6.145251396648044,The Body Shop,Near-null
body shop,-1,0.06097560975609756,164,6.097560975609756,The Body Shop,Near-null
body shop,0,0.06802721088435375,147,6.802721088435375,The Body Shop,Near-null
body shop,1,0.07692307692307693,143,7.6923076923076925,The Body Shop,Near-null
debenhams,-4,0.009900990099009901,101,0.9900990099009901,Debenhams,Persistent
debenhams,-3,0.00980392156862745,102,0.9803921568627451,Debenhams,Persistent
debenhams,-2,0.009345794392523364,107,0.9345794392523363,Debenhams,Persistent
debenhams,-1,0.027522935779816515,109,2.7522935779816518,Debenhams,Persistent
debenhams,0,0.12727272727272726,110,12.727272727272727,Debenhams,Persistent
debenhams,1,0.38461538461538464,104,38.46153846153847,Debenhams,Persistent
debenhams,2,0.38235294117647056,102,38.23529411764706,Debenhams,Persistent
debenhams,3,0.3939393939393939,66,39.39393939393939,Debenhams,Persistent
debenhams,4,0.375,64,37.5,Debenhams,Persistent
debenhams,5,0.3870967741935484,62,38.70967741935484,Debenhams,Persistent
strada,-2,0.03571428571428571,28,3.571428571428571,Strada,Partial recovery
strada,-1,0.10344827586206896,29,10.344827586206897,Strada,Partial recovery
strada,0,0.2413793103448276,29,24.137931034482758,Strada,Partial recovery
strada,1,0.125,32,12.5,Strada,Partial recovery
strada,2,0.12903225806451613,31,12.903225806451612,Strada,Partial recovery
strada,3,0.12903225806451613,31,12.903225806451612,Strada,Partial recovery
strada,4,0.15625,32,15.625,Strada,Partial recovery
strada,5,0.1111111111111111,27,11.11111111111111,Strada,Partial recovery
thomas cook,-3,0.059782608695652176,184,5.978260869565218,Thomas Cook,Persistent
thomas cook,-2,0.05583756345177665,197,5.583756345177665,Thomas Cook,Persistent
thomas cook,-1,0.09803921568627451,204,9.803921568627452,Thomas Cook,Persistent
thomas cook,0,0.26666666666666666,195,26.666666666666668,Thomas Cook,Persistent
thomas cook,1,0.29949238578680204,197,29.949238578680205,Thomas Cook,Persistent
thomas cook,2,0.29842931937172773,191,29.84293193717277,Thomas Cook,Persistent
thomas cook,3,0.2918918918918919,185,29.18918918918919,Thomas Cook,Persistent
thomas cook,4,0.2733333333333333,150,27.333333333333332,Thomas Cook,Persistent
thomas cook,5,0.2620689655172414,145,26.20689655172414,Thomas Cook,Persistent
wilko,-4,0.03398058252427184,206,3.3980582524271843,Wilko,Recent shock
wilko,-3,0.03365384615384615,208,3.3653846153846154,Wilko,Recent shock
wilko,-2,0.03365384615384615,208,3.3653846153846154,Wilko,Recent shock
wilko,-1,0.057971014492753624,207,5.797101449275362,Wilko,Recent shock
wilko,0,0.2804878048780488,164,28.04878048780488,Wilko,Recent shock
wilko,1,0.2631578947368421,152,26.31578947368421,Wilko,Recent shock
wilko,2,0.22972972972972974,148,22.972972972972975,Wilko,Recent shock
