,at_risk_sites,distinct_brands,clustered_share,VMR_observed,post_vacancy_share
at_risk_sites,1.0,0.815331623698819,0.21310957665959923,0.32026050185424954,-0.12395595195009555
distinct_brands,0.815331623698819,1.0,0.35007068322237284,0.44362926760194576,-0.03030584097085205
clustered_share,0.21310957665959923,0.35007068322237284,1.0,0.51111027567841,0.10814993104972342
VMR_observed,0.32026050185424954,0.44362926760194576,0.51111027567841,1.0,0.09086320516731675
post_vacancy_share,-0.12395595195009555,-0.03030584097085205,0.10814993104972342,0.09086320516731675,1.0
